10yard	10ヤードファイト	てんやーどふぁいと
g_uded	アンデッドライン (メガドライブ)	あんでっどらいん_m
g_umk3	Ultimate Mortal Kombat 3 (メガドライブ)	あるてぃめっともーたるこんばっと3_m
g_uqix	ヴォルフィード / Ultimate Qix (メガドライブ)	ぼるふぃーど_m
g_uw	大航海時代 / Uncharted Waters (メガドライブ)	だいこうかいじだい1_m
g_uwnh	大航海時代 II / Uncharted Waters - New Horizons (メガドライブ)	だいこうかいじだい2_m
g_uzuke	Uzu Keobukseon (メガドライブ)	うずけおぶくせおん_m
g_vbar	バーチャルバート (メガドライブ)	ばーちゃるばーと_m
g_vf2	バーチャファイター2 (メガドライブ)	ばーちゃふぁいたー2_m
g_view	ビューポイント (メガドライブ)	びゅーぽいんと_m
g_waiala	ワイアラエの奇蹟 (メガドライブ)	わいあらえのきせき_m
g_wani	ワニワニワールド (メガドライブ)	わにわにわーるど_m
g_ward	ワードナの森スペシャル (メガドライブ)	わーどなのもり_m
g_wars	ラングリッサー / Warsong (メガドライブ)	らんぐりっさー_m
g_weap	WeaponLord (メガドライブ)	うえぽんろーど
g_wfsw	WWF Super WrestleMania (メガドライブ)	だぶりゅーだぶりゅーえふすーぱーれっするまにあ_m
g_wher	ワールドヒーローズ (メガドライブ)	わーるどひーろーず_m
g_whip	ウイップラッシュ 惑星ボルテガスの謎 / Whip Rush 2222 AD (メガドライブ)	うぃっぷらっしゅ_m
g_wild	Wild Snake (メガドライブ) (プロトタイプ)	わいるどすねーく_m
g_will	World of Illusion Starring Mickey Mouse and Donald Duck (メガドライブ)	わーるどおぶいりゅーじょんすたーりんぐみっきーまうすあんどどなるどだっく_m
g_wimb	ウィンブルドン / Wimbledon Championship Tennis (メガドライブ)	うぃんぶるどん_m
g_wrom	シーザーの野望 / Warrior of Rome (メガドライブ)	しーざーのやぼう_m
g_xdaze	XDR - X-Dazedly-Ray (メガドライブ)	えっくすでぃーあーる_m
g_xmen	X-Men (メガドライブ)	えっくすめん_g_m
g_ys3	イースIII - ワンダラーズ・フロム・イース (メガドライブ)	いーす3_m
g_zanya	斬 - 夜叉円舞曲 / Zan Yasha Enbuden (メガドライブ)	ざんやしゃえんぶきょく_m
g_zoom	ズーム！ (メガドライブ)	ずーむ_m
g_zoop	ズープ (メガドライブ)	ずーぷ_m
g_ztks	Zero The Kamikaze Squirrel (メガドライブ)	ぜろざかみかぜすくうぃれる_m
g_zwin	ゼロウィング (メガドライブ)	ぜろうぃんぐ_m
g13knd	ゴルゴ13 奇跡の弾道	ごるごさーてぃーんきせきのだんどう
ga2	ゴールデンアックス - デスアダーの復讐	ごーるでんあっくす
gaiapols	ガイアポリス - 黄金鷹の剣	がいあぽりす
galaga	ギャラガ	ぎゃらが
galaga88	ギャラガ'88	ぎゃらが88
galastrm	ギャラクティックストーム	ぎゃらくてぃっくすとーむ
galaxyfg	ギャラクシーファイト - ユニバーサル・ウォリアーズ	ぎゃらくしーふぁいと
galivan	コスモポリス ギャリバン	こすもぽりすぎゃりばん
gallop	ギャロップ - Armed Police Unit	ぎゃろっぷ
galmedes	ガルメデス	がるめです
gametngk	ゲーム天国 - ザ・ゲームパラダイス！	げーむてんごく
ganryu	武蔵巌流記	むさしがんりゅうき
gaplus	ギャプラス	ぎゃぷらす
gardia	ガルディア	がるでぃあ
garogun	Garogun Seroyang (韓国版)	がろぐんせろやん
garou	餓GAROU狼 - Mark of the Wolves	がろうまーくおぶざうるぶす
garyoret	臥竜列伝	がりょうれつでん
gaunt2	ガントレットII	がんとれっと2
gauntlet	ガントレット	がんとれっと1
gbusters	クレイジーコップ / Gang Busters	くれいじーこっぷ
gekiridn	逆鱗弾	げきりんだん
gekisou	激走	げきそう
gemini	ジェミニウィング	じぇみにういんぐ
genpeitd	源平討魔伝	げんぺいとうまでん
getstar	ゲットスター	げっとすたー
gforce2	ギャラクシーフォースII	ぎゃらくしーふぉーす2
ghlpanic	オーバキューン / Ghoul Panic	おーばきゅーん
ghostb	迷宮ハンターG / Real Ghost Busters (US版)	めいきゅうはんたーじー
ghostlop	ゴーストロップ	ごーすとろっぷ
ghouls	大魔界村	だいまかいむら
gigawing	ギガウィング	ぎがうぃんぐ
gijoe	G.I.ジョー	じーあいじょー
ginganin	銀河任侠伝	ぎんがにんきょうでん
ginkun	がんばれギンくん	がんばれぎんくん
gladiatp	グラディエイター (ピンボール)	ぐらでぃえーたー
gladiatr	黄金の城 / Gradiator	おうごんのしろ
gldneye	007 ゴールデンアイ (ピンボール)	ぜろぜろせぶんごーるでんあい
gloc	G-LOC	じーろっく
gng	魔界村 / Ghosts'n Goblins	まかいむら
gnr_300	ガンズ・アンド・ローゼズ (ピンボール)	がんずあんどろーぜず
goalx3	ゴール！ゴール！ゴール！	ごーるごーるごーる
godzilla	ゴジラ	ごじら
godzillp	ゴジラ (ピンボール)	ごじらp
fantjour	極上パロディウス - 過去の栄光を求めて	ごくじょうぱろでぃうす
goldcue	ゴールデンキュー (ピンボール)	ごーるでんきゅー
goldnaxe	ゴールデンアックス	ごーるでんあっくす
golgo13	ゴルゴ13	ごるごさーてぃーん
gollygho	ゴーリーゴースト	ごーりーごーすと
gondo	魔境戦士 / Gondomania	まきょうせんし
goodejan	グッとE雀 - 勝ち抜き麻雀賞金王!!	ぐっといーじゃん
gowcaizr	超人学園ゴウカイザー	ちょうじんがくえんごうかいざー
gpilots	ゴーストパイロット	ごーすとぱいろっと
gprider	GPライダー	じーぴーらいだー
gradius	グラディウス	ぐらでぃうす
gradius3	グラディウスIII - 伝説から神話へ	ぐらでぃうす3
gradius4	グラディウスIV - 復活	ぐらでぃうす4
grand_l4	グランドリザード (L-4) (ピンボール)	ぐらんどりざーどp
gratia	セカンドアース グラティア	せかんどあーすぐらてぃあ
grobda	グロブダー	ぐろぶだー
groundfx	グランドエフェクト / スーパーグランドエフェクト	ぐらんどえふぇくと
growl	ルナーク	るなーく
gs_l4	ザ・バリー・ゲームショー (L-4) (ピンボール)	ざばりーげーむしょーp
gseeker	グリッドシーカー	ぐりっどしーかー
gslgr94j	グレートスラッガーズ'94 (日本版)	ぐれーとすらっがーず94
gslgr94u	グレートスラッガーズ'94	ぐれーとすらっがーず94
gslugrsj	グレートスラッガーズ	ぐれーとすらっがーず
gstriker	グランドストライカー	ぐらんどすとらいかー
gt3d	Golden Tee 3D Golf (also '97-Classic)	ごーるでんてぃーすりーでぃーごるふ
gt3dv18	Golden Tee 3D Golf (v1.8)	ごーるでんてぃーすりーでぃーごるふ1.8
gticlub	GTIクラブ	じーてぃーあいくらぶ
guardian	ガーディアンオブザフッド	がーでぃあんおぶざふっど
gulfwar2	Gulf War II	がるふうぉー2
gunbird	ガンバード	がんばーど
gunblade	ガンブレードNY	がんぶれーどにゅーよーく
gunbustr	ガンバスター	がんばすたー
gunforc2	ジオストーム / Gunforce 2	じおすとーむ
gunforce	ガンフォース	がんふぉーす
gunfront	ガンフロンティア	がんふろんてぃあ
gunlock	レイフォース / GunLock	れいふぉーす
gunsmoke	ガンスモーク	がんすもーく
gururin	ぐるりん	ぐるりん
guts	Guts n' Glory (プロトタイプ)	がっつんぐろーりー
guwange	ぐわんげ	ぐわんげ
gw_l5	ザ・ゲートウェイ - ハイスピードII (L-5) (ピンボール)	ざげーとうぇいp
gwar	ゲバラ	げばら
gwarrior	ギャラクティックウォーリアーズ	ぎゃらくてぃっくうぉーりあーず
gyruss	ジャイラス	じゃいらす
hachoo	破兆！	はちょう
halleys	ハレーズコメット	はれーずこめっと
hangon	ハングオン	はんぐおん
harddunk	ハードダンク 3on3	はーどだんく
hardyard	Hard Yardage	はーどやーでじ
harley	ハーレーダビッドソン＆L.A.ライダーズ	はーれーだびっっどそんあんどえるえーらいだーず
hasamu	覇沙夢	はさむ
hatena	アドベンチャークイズ2 ハテナ？の大冒険	あどべんちゃーくいず2はてなのだいぼうけん
hayaosi1	早押しクイズ 王座決定戦	はやおしくいず1
hayaosi2	早押しクイズ グランドチャンピオン大会	はやおしくいず2
hayaosi3	早押しクイズ 熱闘生放送！	はやおしくいず3
hbarrel	ヘビーバレル	へびーばれる
hcastle	悪魔城ドラキュラ	あくまじょうどらきゅら
heatbrl	ヒーテッドバレル	ひーてっどばれる
heavyunt	ヘビーユニット	へびーゆにっと
hellfire	ヘルファイヤー	へるふぁいやー
hharry	大工の源さん / Hammerin' Harry (海外版)	だいくのげんさん_w
hiimpact	High Impact Football	はいいんぱくとふっとぼーる
hippodrm	ファイティングファンタジー / Hippodrome	ふぁいてぃんぐふぁんたじー
hitice	ヒットジアイス	ひっとじあいす
holo	ホロシアム	ほろしあむ
hook	フック	ふっく
hook_408	フック (ピンボール)	ふっく_ぴ
hoops	フープス (ピンボール)	ふーぷす_p
hopmappy	ホッピングマッピー	ほっぴんぐまっぴー
horekid	キッドのホレホレ大作戦	きっどのほれほれだいさくせん
horizon	Horizon	ほらいずん
hotchase	ホットチェイス	ほっとちぇいす
hotd	ザ・ハウス・オブ・ザ・デッド	ざはうすおぶざでっど
hotdogst	Hotdog Storm	ほっとどっぐすとーむ
hs_l4	ハイスピード (L-4) (ピンボール)	はいすぴーどp
hsf2	ハイパーストリートファイター2 - アニバーサリーエディション	はいぱーすとりーとふぁいたー2
hunchbks	Hunchback (スクランブル基板)	はんちばっく
hustler	ビデオハスラー	びでおはすらー
hvoltage	ハイボルテージ	はいぼるてーじ
hvymetal	ヘビーメタル	へびーめたる
hwchamp	ヘビーウェイトチャンプ	へびーうぇいとちゃんぷ
hwrace	ハイウェイレース	はいうぇいれーす
hydra	Hydra	はいどら
hyprduel	ハイパーデュエル	はいぱーでゅえる
i500_11r	インディアナポリス500 (ピンボール)	いんでぃあなぽりす500
id4	インデペンデンス・デイ - ID4 (ピンボール)	いんでぺんでんすでい
iganinju	伊賀忍術伝 - 五神の書	いがにんじゅつでん
ij_l7	インディージョーンズ (ピンボール)	いんでぃーじょーんず
ikari	怒	いかり1
ikari3	怒III	いかり3
imgfight	イメージファイト	いめーじふぁいと
imsorry	ごんべえのあいむそ～り～	ごんべえのあいむそーりー
indy500	インディ500	いんでぃふぁいぶはんどれっど
indytemp	インディージョーンズ	いんでぃーじょーんず
inthunt	海底大戦争 / In The Hunt	かいていだいせんそう
ironhors	大列車強盗 / Iron Horse	だいれっしゃごうとう
irrmaze	ウルトラ電流イライラ棒 / The Irritating Maze	うるとらでんりゅういらいらぼう
jackal	特殊部隊ジャッカル	とくしゅぶたいじゃっかる
janshin	雀神伝説 - QUEST OF JONGMASTER	じゃんしんでんせつ
jb_10r	ジャックボット (ピンボール)	じゃっくぽっと
jd_l7	ジャッジドレッド (ピンボール)	じゃっじどれっど
jdreddp	Judge Dredd	じゃっじどれっど
jedi	スターウォーズ - ジェダイの復讐	すたーうぉーずじぇだいのふくしゅう

jjack	ジャンピングジャック	じゃんぴんぐじゃっく
jm_12r	ジョニーニーモニック (ピンボール)	じょーにーにーもにっく
jockeygp	Jockey Grand Prix	じょっきーぐらんぷり
journey	Journey	じゃーにー
joust2	Joust 2 - Survival of the Fittest	じゃうすと2
joyjoy	ジョイジョイキッド	じょいじょいきっど
jpark	ジュラシックパーク	じゅらしっくぱーく
jplstw22	ザ・ロストワールド - ジュラシックパーク (ピンボール)	ざろすとわーるど
jrpacman	ジュニアパックマン	じゅにあぱっくまん
jungler	ジャングラー	じゃんぐらー
jupk_513	ジュラシックパーク (ピンボール)	じゅらしっくぱーく
jy_12	ジャンクヤード (ピンボール)	じゃんくやーど
jyangoku	雀國志 - 覇王の采牌	じゃんごくし
kabukikl	天外魔境真伝 / Far East of Eden - Kabuki Klash	てんがいまきょうしんでん
kabukiz	歌舞伎Z	かぶきぜっと
kaiserkn	カイザーナックル	かいざーなっくる
kaiunqz	開運クイズ・幸福の旅人	かいうんくいず
karianx	Karian Cross	かりあんくろす
karnov	カルノフ	かるのふ
karnovr	ファイターズヒストリーダイナマイト / Karnov's Revenge	ふぁいたーずひすとりーだいなまいと
kengo	剣豪	けんごう
kick	キックマン	きっくまん
kickoff	キックオフ	きっくおふ
kickridr	キックライダー	きっくらいだー
kidniki	快傑ヤンチャ丸 / Kid Niki	かいけつやんちゃまる
kikcubic	迷宮島 / Kickle Cubele	めいきゅうじま
kikikai	奇々怪界	ききかいかい
kikstart	キックスタート	きっくすたーと
kinst	Killer Instinct	きらーいんすてぃんくと1
kinst2	Killer Instinct 2	きらーいんすてぃんくと2
kirarast	流星雀士キララ☆スター	りゅうせいじゃんしきららすたー
kittenk	にゃんにゃんパニック / Kitten Kaboodle	にゃんにゃんぱにっく
kizuna	風雲スーパータッグバトル / Kizuna Encounter	ふううんすーぱーたっぐばとる
klaxp1	クラックス (プロトタイプ1)	くらっくす
knckhead	ナックルヘッズ	なっくるへっず
kncljoe	ナックルジョー	なっくるじょー
knights	ナイツ・オブ・ザ・ラウンド	ないつおぶざらうんど
kod	ザ・キング・オブ・ドラゴンズ (海外版)	ざきんぐおぶどらごんず_w
kodj	ザ・キング・オブ・ドラゴンズ (日本版)	ざきんぐおぶどらごんず_j
kozure	子連れ狼	こづれおおかみ
kof2000	ザ・キング・オブ・ファイターズ 2000	ざきんぐおぶふぁいたーず2000
kof2001	ザ・キング・オブ・ファイターズ 2001	ざきんぐおぶふぁいたーず2001
kof2002	ザ・キング・オブ・ファイターズ 2002	ざきんぐおぶふぁいたーず2002 
kof2003	ザ・キング・オブ・ファイターズ 2003	ざきんぐおぶふぁいたーず2003
kof94	ザ・キング・オブ・ファイターズ '94	ざきんぐおぶふぁいたーず1994
kof95	ザ・キング・オブ・ファイターズ '95	ざきんぐおぶふぁいたーず1995
kof96	ザ・キング・オブ・ファイターズ '96	ざきんぐおぶふぁいたーず1996
kof97	ザ・キング・オブ・ファイターズ '97	ざきんぐおぶふぁいたーず1997
kof98	ザ・キング・オブ・ファイターズ '98	ざきんぐおぶふぁいたーず1998
kof99	ザ・キング・オブ・ファイターズ '99	ざきんぐおぶふぁいたーず1999
konamigt	レッドファイター2	れっどふぁいたー2
koshien	嗚呼栄光の甲子園	ああえいこうのこうしえん
kotm	キング・オブ・ザ・モンスターズ	きんぐおぶざもんすたーず
kotm2	キング・オブ・ザ・モンスターズ2	きんぐおぶざもんすたーず2
kouyakyu	ザ・高校野球	ざこうこうやきゅう
kroozr	Kozmik Kroozr	こずみっくくるーざー
kungfum	スパルタンX / Kung Fu Master	すぱるたんえっくす
kuniokun	熱血硬派くにお君	ねっけつこうはくにおくん
kurikint	功里金団	くりきんとん
kyukaidk	球界道中記	きゅうかいどうちゅうき
lah_112	ラストアクションヒーロー (ピンボール)	らすとあくしょんひーろー
landgear	ランディングギア	らんでぃんぐぎあ
landmakr	ランドメーカー	らんどめーかー
lastblad	幕末浪漫 月華の剣士 / The Last Blade	ばくまつろまん1
lastbld2	幕末浪漫第二幕 月華の剣士 - 月に咲く華、散りゆく花 / The Last Blade 2	ばくまつろまん2
lastbrnx	ラストブロンクス - 東京番外地	らすとぶろんくす
lastduel	ラストデュエル	らすとでゅえる
lastmisn	ラストミッション	らすとみっしょん
lbgrande	リベログランデ	りべろぐらんで
lbowling	リーグボウリング	りーぐぼうりんぐ
lca	ライツ・カメラ・アクション (ピンボール)	らいつかめらあくしょん
ldrun	ロードランナー	ろーどらんなー1
ldrun2	ロードランナーII - バンゲリング帝国の逆襲	ろーどらんなー2
ldrun3	ロードランナーIII - 魔神の復活	ろーどらんなー3
ldrun4	ロードランナーIV - 帝国からの脱出	ろーどらんなー4
le2	リーサルエンフォーサーズII	りーさるえんふぉーさーず2
legendos	あしたのジョー伝説 / Legend of Success Joe	あしたのじょーでんせつ
legion	超時迷宮レジオン	ちょうじめいきゅうれじおん
legionna	レジオネア	れじおねあ
lemans24	ル・マン24	るまん24
lemmings	Lemmings	れみんぐす
lethalen	リーサルエンフォーサーズ	りーさるえんふぉーさーず1
lethalth	サンダーブラスター / Lethal Thunder	さんだーぶらすたー
lghost	レーザーゴースト	れーざーごーすと
lgtnfght	トライゴン / Lightning Fighters	とらいごん
liblrabl	リブルラブル	りぶるらぶる
lifefrce	ライフフォース (US版)	らいふふぉーす_u
lifefrcej	ライフフォース (日本版)	らいふふぉーす_j
liquidk	ミズバク大冒険 / Liquid Kids	みずばくあどべんちゃー
lkage	影の伝説	かげのでんせつ
lnc	ロックンチェイス	ろっくんちぇいす
lockloadu	ガンハード / Locked 'N Loaded	がんはーど
lockon	ロックオン	ろっくおん
locomotn	ガッタンゴットン / Loco-Motion	がったんごっとん
loffire	ラインオブファイヤー - 爆弾野郎	らいんおぶふぁいやー
logicpro	ロジックプロ	ろじっくぷろ
loht	レジェンドオブヒーロー トンマ	れじぇんどおぶひーろーとんま
lomakai	魔魁伝説	まかいでんせつ
lostspc	ロストインスペース (ピンボール)	ろすといんすぺーすp
losttomb	Lost Tomb	ろすととぅーむ
lostwrld	ロストワールド (日本版) 	ろすとわーるど
lostwsga	ロストワールド・ジュラシックパーク	ろすとわーるどじゅらしっくぱーく
lotlot	ロットロット	ろっとろっと
lresort	ラストリゾート	らすとりぞーと
luckywld	ラッキー＆ワイルド	らっきーあんどわいるど
lw3_208	リーサルウェポンIII (ピンボール)	りーさるうぇぽん3
lwings	アレスの翼 / Legendary Wings	あれすのつばさ
machbrkr	マッハブレイカーズ - ニューマンアスレチック2	まっはぶれいかーず
macross2	超時空要塞マクロスII	ちょうじくうようさいまくろす2
madgear	マッドギア / Led Storm	まっどぎあ
madmotor	マッドモーター	まっどもーたー
magdrop2	マジカルドロップ2	まじかるどろっぷ2
magdrop3	マジカルドロップIII	まじかるどろっぷ3
magicbub	Magic Bubble	まじっくばぶる
maglord	マジシャンロード	まじしゃんろーど
sstriker	魔法大作戦	まほうだいさくせん
mahretsu	麻雀狂列伝 - 西日本編	まーじゃんきょうれつでん
mainevt	リングの王者 / The Main Event	りんぐのおうじゃ
majtitl2	メジャータイトル2	めじゃーたいとる2
majtitle	メジャータイトル	めじゃーたいとる1
manxtt	マンクスT.T. - スーパーバイク	まんくすてぃーてぃーすーぱーばいく
manybloc	Many Block	めにーぶろっく
mappy	マッピー	まっぴー
marble	マーブルマッドネス	まーぶるまっどねす
mars	Mars	まーず
marukin	スーパー（禁）版	すーぱーまるきんばん
marukodq	ちびまる子ちゃん まる子デラックスクイズ	ちびまるこちゃん
marvland	マーベルランド (US版)	まーべるらんど
marvlandj	マーベルランド (日本版)	まーべるらんど
masterw	マスターオブウエポン	ますたーおぶうえぽん
matchit	四川省 / Match It	しせんしょう1
matchit2	四川省II / Match It II	しせんしょう2
matrim	新豪血寺一族 闘婚 - matrimelee	しんごうけつじいちぞくとうこん
mav_402	マーベリック・ザ・ムービー (ピンボール)	まーべりっく
mazinger	マジンガーZ	まじんがーぜっと
mb_10	モンスターバッシュ (ピンボール)	もんすたーばっしゅ
mcatadv	マジカルキャットアドベンチャー	まじかるきゃっとあどべんちゃー
mdhorse	ダービークイズ マイドリームホース	だーびーくいず
mechatt	メカナイズドアタック	めかないずどあたっく
megablst	メガブラスト	めがぶらすと
megaman	ロックマン - ザ・パワーバトル	ろっくまん1
megaman2	ロックマン2 - ザ・パワーファイターズ	ろっくまん2ざぱわーふぁいたーず
meikyuh	迷宮ハンターG (日本版)	めいきゅうはんたーじい_j
mercs	戦場の狼II / Mercs	せんじょうのおおかみ2
metalb	メタルブラック	めたるぶらっく
metamrph	メタモルフィックフォース	めたもるふぃっくふぉーす
metlhawk	メタルホーク	めたるほーく
metrocrs	メトロクロス	めとろくろす
mgakuen	麻雀学園	まーじゃんがくえん1
mgakuen2	麻雀学園2	まーじゃんがくえん2
mgcldtex	マジカルデートEX	まじかるでーといーえっくす
mia	ミッシングインアクション	みっしんぐいんあくしょん
midnrun	ミッドナイトラン	みっどないとらん
midres	ミッドナイトレジスタンス (海外版)	みっどないとれじすたんす_w
midresj	ミッドナイトレジスタンス (日本版)	みっどないとれじすたんす_j
miexchng	マネーアイドルエクスチェンジャー / Money Puzzle Exhanger	まねーあいどるえくすちぇんじゃー
milln_l3	ミリオネア (L-3) (ピンボール)	みりおねあp
mimonkey	Mighty Monkey	まいてぃーもんきー
minasan	みなさんのおかげさまです！ - 大スゴロク大会	みなさんのおかげさまです
minefld	Minefield	まいんふぃーるど
mirninja	未来忍者 - 慶雲機忍外伝	みらいにんじゃ
missb2	Miss Bubble 2	みすばぶる2
mjleague	メジャーリーグ	めじゃーりーぐ
mjnquest	マージャンクエスト	まーじゃんくえすと
mk	モータルコンバット	もーたるこんばっと1
mk2	Mortal Kombat II	もーたるこんばっと2
mk3	Mortal Kombat 3 / Ultimate Mortal Kombat 3	もーたるこんばっと3
mlanding	ミッドナイトランディング	みっどないとらんでぃんぐ
mm_10	メディイーバルマッドネス (ピンボール)	めでぃいーばるまっどねす
mmancp2u	ロックマン - ザ・パワーバトル / Mega Man - The Power Battle (CPS2)	ろっくまん1_cp2_w
mmatrix	マーズマトリックス	まーずまとりっくす
mmaulers	究極戦隊ダダンダーン / Monster Maulers	きゅうきょくせんたいだだんだーん
mmaze	メルヘンメイズ	めるへんめいず
mnight	ミュータントナイト	みゅーたんとないと
mofflott	メイズオブフロット	めいずおぶふろっと
momoko	モモコ120%	ももこ120ぱーせんと
moomesa	Wild West C.O.W.-Boys of Moo Mesa	わいるどうえすとかうぼーいずおぶむーめさ
moonwar	Moonwar	むーんうぉー
mosyougi	将棋の達人 - MASTER OF SYOUGI	しょうぎのたつじん
motofren	モトフレンジー	もとふれんじー
motoraid	モーターレイド	もーたーれいど
motos	モトス	もとす
motoxgo	モトクロスゴー！	もとくろすごー
mousn_l4	マウシンアラウンド！ (LA-4) (ピンボール)	まうしんあらうんどp
mpangj	マイティ・パン	まいてぃぱん
mpatrol	ムーンパトロール	むーんぱとろーる
mrdrillr	ミスタードリラー	みすたーどりらー
mrheli	Mr.HELIの大冒険 (日本版)	みすたーへりのだいぼうけん_j
mrkougar	Mr. Kougar	みすたーくーがー
mrviking	ミスターバイキング	みすたーばいきんぐ
msh	マーヴルスーパーヒーローズ	まーぶるすーぱーひーろーず
mshvsf	マーヴルスーパーヒーローズ VS. ストリートファイター	まーぶるすーぱーひーろーずばーささすすとりーとふぁいたー
msisaac	メタルソルジャーアイザックII	めたるそるじゃーあいざっく
mslug	メタルスラッグ	めたるすらっぐ1
mslug2	メタルスラッグ2	めたるすらっぐ2
mslug3	メタルスラッグ3	めたるすらっぐ3
mslug4	メタルスラッグ4	めたるすらっぐ4
mslug5	メタルスラッグ5	めたるすらっぐ5
mslugx	メタルスラッグX	めたるすらっぐ2.5
mstadium	メインスタジアム (日本版)	めいんすたじあむ
msword	マジックソード	まじっくそーど
mtlchamp	マーシャルチャンピオン	まーしゃるちゃんぴおん
mtwins	チキチキボーイズ / Mega Twins	ちきちきぼーいず
mugsmash	Mug Smashers	まぐすまっしゃーず
mustache	マスタッシュボーイ	ますたっしゅぼーい
mustangb	US AAF ムスタング (海賊版)	ゆーえすえーえーえふむすたんぐ
mutantf	デスブレイド	ですぶれいど
mutnat	ミューテーションネーション	みゅーてーしょんねーしょん
mvp	M.V.P	えむぶいぴー
mvsc	マーヴル VS. カプコン - クラッシュオブスーパーヒーローズ	まーぶるばーさすかぷこん
mwalk	マイケルジャクソンズ ムーンウォーカー	まいけるじゃくそんずむーんうぉーかー
mx5000	フラックアタック / MX5000	ふらっくあたっく
myangel3	子育てクイズ・マイエンジェル3 - マイリトルペット	こそだてくいずまいえんじぇる3
myhero	青春スキャンダル	せいしゅんすきゃんだる
mysticri	魔法警備隊ガンホーキ / Mystic Riders	まほうけいびたいがんほーき
mystwarr	ミスティックウォリアーズ	みすてぃっくうぉりあーず
nam1975	NAM-1975	なむ1975
narc	ナーク	なーく
nastar	ラスタンサーガII	らすたんさーが2
nbaf_31	NBAファストブレイク (ピンボール)	えぬびーえーふぁすとぶれいく
nbahangt	NBA Hangtime	えぬびーえーはんぐたいむ
nbajam	NBAジャム	えぬびーえーじゃむ
nbajamte	NBA Jam Tournament Edition	えぬびーえーじゃむとーなめんとえでぃしょん
nbapbp	NBAプレイ・バイ・プレイ	えぬびーえーぷれいばいぷれい
nbbatman	野球格闘リーグマン / Ninja Baseball Batman	やきゅうかくとうりーぐまん
ncombat	ニンジャコンバット	にんじゃこんばっと
ncommand	ニンジャコマンドー	にんじゃこまんどー
ncv1	ナムコ クラシックコレクションVol.1	なむこくらしっく1
ncv2	ナムコ クラシックコレクションVol.2	なむこくらしっく2
nebulray	ネビュラスレイ	ねびゅらすれい
nemesis	グラディウス / Nemesis	ぐらでぃうす_w
nemo	ニモ	にも
neobombe	ネオボンバーマン	ねおぼんばーまん
neocup98	ネオジオカップ'98	ねおじおかっぷ98
neodrift	ネオドリフトアウト	ねおどりふとあうと
neomrdo	ネオミスターDo!	ねおみすたーどぅ
newsin7	New Sindbad 7	にゅーしんどばっどせぶん
newtangl	ニュートロピカルエンジェル	にゅーとろぴかるえんじぇる
nf_23x	ノーフィア (ピンボール)	のーふぃあ
ngg_13	ノーグッドゴーファーズ (ピンボール)	のーぐっどごーふぁーず
nightstr	ナイトストライカー	ないとすとらいかー
ninjak	ニンジャキッズ	にんじゃきっず
ninjamas	ニンジャマスターズ - 覇王忍法帖	にんじゃますたーず
ninjaw	ニンジャウォーリアーズ	にんじゃうぉーりあーず
ninjemak	妖魔忍法帖 / Ninja Emaki	ようまにんぽうちょう
nitd	ナイトメア・イン・ザ・ダーク	ないとめあいんざだーく
nitrobal	ガンボール / Nitro Ball	がんぼーる
nmg5	Multi 5 / New Multi Game 5	まるちふぁいぶ
nobb	のぼらんか	のぼらんか
nost	ノストラダムス	のすとらだむす
nrallyx	ニューラリーX	にゅーらりーえっくす
nslasher	ナイトスラッシャー	ないとすらっしゃー
nspirit	最後の忍道 / Ninja Spirit (海外版)	さいごのにんどう_w
nspiritj	最後の忍道 (日本版)	さいごのにんどう_j
numanath	ニューマンアスレチックス	にゅーまんあすれちっくす
nwarr	ヴァンパイアハンター - ダークストーカーズリベンジ	ばんぱいあはんたー
offroadc	Off Road Challenge	おふろーどちゃれんじ
offtwall	オフザウォール	おふざうぉーる
omegaf	オメガファイター	おめがふぁいたー
onna34ro	女三四郎 (set 1)	おんなさんしろう
opengolf	ゴルフィンググレイツ2 / Konami's Open Golf Championship	ごるふぃんぐぐれいつ2
openice	2 On 2 Open Ice Challenge	つーおんつーおーぷんあいすちゃれんじ
opthund	オペレーションサンダー (ピンボール)	おぺれーしょんさんだー
opwolf	オペレーションウルフ	おぺれーしょんうるふ1
opwolf3	オペレーションウルフ3	おぺれーしょんうるふ3
ordyne	オーダイン	おーだいん
orunners	アウトランナーズ	あうとらんなーず
oscar	サイコニクスオスカー	さいこにくすおすかー
othunder	オペレーションサンダーボルト	おぺれーしょんさんだーぼると
outfxies	アウトフォクシーズ	あうとふぉくしーず
outrun	アウトラン	あうとらん
outzone	アウトゾーン	あうとぞーん
overdriv	Over Drive	おーばーどらいぶ
overrev	オーバーレブ	おーばーれぶ
overtop	オーバートップ	おーばーとっぷ
p47	P-47	ぴーふぉーてぃーせぶん
p47aces	P-47 ACES	ぴーふぉーてぃーせぶんえーせず
pacapp	パカパカパッション	ぱかぱかぱっしょん1
pacapp2	パカパカパッション2	ぱかぱかぱっしょん2
pacappsp	パカパカパッション スペシャル	ぱかぱかぱっしょんすぺしゃる
pacland	パックランド	ぱっくらんど
pacman	パックマン	ぱっくまん
pacmania	パックマニア (海外版)	ぱっくまにあ_w
pacmaniaj	パックマニア (日本版)	ぱっくまにあ_j
pacnpal	パック＆パル	ぱっくあんどぱる
pacwc90	パックマン (テクモワールドカップ'90基板)	ぱっくまん_t
pairs	Pairs	ぺあーず
pang	パン	ぱん
pang3	パン3 - 怪盗たちの華麗な午後	ぱん3
